Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
13th,movie,"Crime, Documentary, History",2016,8.2,FALSE
Censor,movie,"Horror, Mystery, Thriller",2021,6,FALSE
Earwig and the Witch,movie,"Adventure, Animation, Family",2020,4.7,FALSE
Orphan: First Kill,movie,"Crime, Drama, Horror",2022,5.9,FALSE
Ghoul,movie,"Horror, Thriller",2015,4.6,FALSE
Salut d'Amour,movie,"Drama, Romance",2015,7.2,FALSE
Suck Me Shakespeer 2,movie,Comedy,2015,5.9,FALSE
Children of Shatila,movie,"Documentary, History",1998,7.7,FALSE
Untapped: Closing America's Opportunity Gap,movie,Documentary,2024,6.5,FALSE
The Forest,movie,"Horror, Mystery, Thriller",2016,4.8,FALSE
Dholakpur to Kathmandu,movie,Animation,2013,7.8,FALSE
L'été prochain,movie,Drama,1985,5.6,FALSE
At My Finger Tips,movie,"Drama, Music",2002,6.4,FALSE
Paws of Fury: The Legend of Hank,movie,"Action, Adventure, Animation",2022,5.8,FALSE
Sune vs. Sune,movie,"Comedy, Family, Fantasy",2018,5.5,FALSE
Sune - Best Man,movie,"Adventure, Comedy, Family",2019,5.6,FALSE
Heritages,movie,"Biography, Drama",2013,7.5,FALSE
Hesapta Ask,movie,"Comedy, Romance",2016,4.8,FALSE
Les gens qui s'aiment,movie,"Comedy, Drama, Romance",1999,5.1,FALSE
Silent Bruges,movie,"Drama, Romance",1981,5.9,FALSE
Gold Coast Lounge,movie,"Crime, Drama, Romance",2020,5.7,FALSE
"No Andaba Muerto, Estaba de Parranda",movie,Comedy,2020,4.6,FALSE
Zoolander 2,movie,"Action, Adventure, Comedy",2016,4.7,FALSE
Susie Searches,movie,"Comedy, Drama, Mystery",2022,5.9,FALSE
Sole Man,movie,"Biography, Documentary, History",2015,6.9,FALSE
Day 13,movie,"Action, Horror",2023,5.1,FALSE
Haunted Heart,movie,"Romance, Thriller",2024,4.9,FALSE
Let's Go Karaoke!,movie,"Comedy, Music",2023,7.1,FALSE
Dark Windows,movie,"Horror, Thriller",2023,4.6,FALSE
Brian and Charles,movie,"Comedy, Drama, Sci-Fi",2022,6.7,FALSE
Nelly Rapp: Monster Agent,movie,"Adventure, Comedy, Family",2020,5.8,FALSE
Nelly Rapp - The Dark Forest,movie,"Adventure, Comedy, Family",2023,5.7,FALSE
The Gardener's Year,movie,"Comedy, Drama",2024,6.5,FALSE
Brothers,movie,"Action, Drama, Sport",2015,6.4,FALSE
The Garfield Movie,movie,"Adventure, Animation, Comedy",2024,5.7,FALSE
"Aire, Just Breathe",movie,"Romance, Sci-Fi, Thriller",2024,4.9,FALSE
Terra Formars,movie,"Action, Horror, Sci-Fi",2016,4.7,FALSE
Gekijôban Shingeki no Kyojin Kôhen: Jiyû no tsubasa,movie,"Action, Animation, Fantasy",2015,7.9,FALSE
Last Stop: Rocafort St.,movie,"Horror, Mystery",2024,4.4,FALSE
Ashby,movie,"Comedy, Crime, Drama",2015,6.4,FALSE
Back in Time,movie,"Documentary, Family, History",2015,6.3,FALSE
Transmitzvah,movie,"Comedy, Drama",2024,4.5,FALSE
Village Rockstars 2,movie,Drama,2024,7.4,FALSE
Veteran,movie,"Action, Comedy, Crime",2015,7,FALSE
Latin Lover,movie,"Comedy, Drama",2015,6.1,FALSE
The Snow Sister,movie,"Drama, Family",2024,7,FALSE
Nothing to Lose 2,movie,"Biography, Drama",2019,3.2,FALSE
The Kitchen,movie,Drama,1961,6.3,FALSE
Fast & Feel Love,movie,"Action, Comedy, Drama",2022,6.8,FALSE
The New Adventures of Aladdin,movie,"Comedy, Fantasy",2015,4.8,FALSE
Love Destiny: The Movie,movie,"Comedy, History, Romance",2022,6.3,FALSE
I Haven't Done Anything,movie,Comedy,2022,7.4,FALSE
Irish Wish,movie,"Comedy, Fantasy, Romance",2024,5.2,FALSE
Phantom,movie,"Action, Crime, History",2023,6.2,FALSE
Unforgettable,movie,"Drama, Thriller",2017,5.1,FALSE
Les affamés,movie,Comedy,2018,4.3,FALSE
While You Were Sleeping,movie,"Drama, Mystery",2024,6.2,FALSE
The Cake General,movie,"Comedy, Drama",2018,6.7,FALSE
Hunt,movie,"Action, Drama, Mystery",2022,6.7,FALSE
Mission Possible,movie,"Action, Comedy, Crime",2021,6.5,FALSE
Pororo and Friends: Virus Busters,movie,"Adventure, Animation",2022,7.4,FALSE
Maiden,movie,"Biography, Documentary, Sport",2018,7.8,FALSE
Confession,movie,"Crime, Mystery, Thriller",2022,6.6,FALSE
Alienoid,movie,"Action, Adventure, Fantasy",2022,6.3,FALSE
Pororo: Cyberspace Adventure,movie,"Animation, Family, Fantasy, Adventure, Science Fiction",2015,,FALSE
The Little Penguin Pororo's Dinosaur Island Adventure,movie,"Adventure, Animation, Fantasy",2017,6.5,FALSE
The Choice,movie,"Drama, Romance",2016,6.5,FALSE
Maria,movie,"Biography, Drama, Music",2024,6.5,FALSE
Mirai,movie,"Adventure, Animation, Drama",2018,7,FALSE
Laid-Back Camp Movie,movie,"Adventure, Animation, Comedy",2022,7.6,FALSE
Bullet Train,movie,"Action, Comedy, Thriller",2022,7.3,FALSE
Katti Batti,movie,"Comedy, Drama, Romance",2015,4.7,FALSE
Jurassic World Dominion,movie,"Action, Adventure, Sci-Fi",2022,5.6,FALSE
Shaft,movie,"Action, Comedy, Crime",2019,6.4,FALSE
Day Shift,movie,"Action, Comedy, Fantasy",2022,6.1,FALSE
Winter on Fire: Ukraine's Fight for Freedom,movie,"Documentary, History, War",2015,8.3,FALSE
Barbarian,movie,"Horror, Mystery, Thriller",2022,7,FALSE
The Blackening,movie,"Comedy, Horror, Mystery",2022,6,FALSE
Little,movie,"Comedy, Fantasy, Romance",2019,5.5,FALSE
Justice League: Crisis on Infinite Earths - Part One,movie,"Action, Adventure, Animation",2024,6.2,FALSE
Land of Bad,movie,"Action, Thriller",2024,6.6,FALSE
Our House,movie,"Drama, Horror, Mystery",2018,5.3,FALSE
Pandemic,movie,"Action, Horror, Sci-Fi",2016,4.4,FALSE
"Game Over, Man!",movie,"Action, Comedy",2018,5.5,FALSE
Fantastic Beasts: The Secrets of Dumbledore,movie,"Adventure, Fantasy",2022,6.2,FALSE
Nina Conti Clowning Around,movie,Documentary,2015,7.6,FALSE
My Daughter's First Time,movie,Comedy,2015,5.2,FALSE
Twenty,movie,"Comedy, Drama, Romance",2015,6.8,FALSE
Hablar,movie,"Comedy, Drama",2015,5.8,FALSE
The Jetfighters in Australia,movie,,2014,,FALSE
Volley,movie,Comedy,2014,6.4,FALSE
Bambanti,movie,Drama,2015,7.7,FALSE
The Whole Truth,movie,"Crime, Drama, Mystery",2016,6.2,FALSE
Amy,movie,"Biography, Documentary, Music",2015,7.8,FALSE
Babysitting 2,movie,Comedy,2015,6.4,FALSE
Murmur of the Hearts,movie,Drama,2015,6.5,FALSE
Vendetta,movie,"Action, Drama",2015,4.7,FALSE
Storks,movie,"Adventure, Animation, Comedy",2016,6.8,FALSE
Man Up,movie,"Comedy, Drama, Romance",2015,6.8,FALSE
The Man Who Had Power Over Women,movie,"Comedy, Drama, Music",1970,5.2,FALSE
A Star Is Born,movie,"Drama, Music, Romance",2018,7.6,FALSE
The Shallows,movie,"Drama, Horror, Thriller",2016,6.3,FALSE
Rendez-Vous,movie,"Drama, Romance",2015,5.6,FALSE
Backtrack,movie,"Drama, Fantasy, Horror",2015,5.9,FALSE
Kocan Kadar Konus,movie,"Comedy, Drama, Fantasy",2015,6.1,FALSE
Julieta,movie,"Drama, Mystery, Romance",2016,7.1,FALSE
Fortune in Diamonds,movie,"Adventure, Drama",1951,5.5,FALSE
Deadman Inferno,movie,"Action, Horror",2015,5.5,FALSE
Empire of Lust,movie,"Action, Drama, Romance",2015,6.1,FALSE
After the Ball,movie,"Biography, Musical",1957,6.1,FALSE
Love the Coopers,movie,"Comedy, Fantasy, Romance",2015,5.8,FALSE
Eye in the Sky,movie,"Action, Drama, Thriller",2015,7.3,FALSE
10 Cloverfield Lane,movie,"Drama, Horror, Sci-Fi",2016,7.2,FALSE
Mr. Right,movie,"Action, Comedy, Crime",2015,6.3,FALSE
The Duel,movie,"Drama, Western",2016,5.8,FALSE
Rosita,movie,"Drama, Romance",2015,6.5,FALSE
Woodlawn,movie,"Biography, Drama, History",2015,6.4,FALSE
You're My Boss,movie,"Comedy, Romance",2015,6.3,FALSE
The Take,movie,"Action, Adventure, Crime",2016,6.3,FALSE
Granny's Got Talent,movie,"Comedy, Drama",2015,5.3,FALSE
Let's Get Married,movie,"Comedy, Romance",2015,5.6,FALSE
Enclave,movie,Drama,2015,7.6,FALSE
Aashik Aawara,movie,Drama,1993,4.8,FALSE
Perfect Rivals,movie,"Comedy, Romance",2011,5,FALSE
Curse of the Witching Tree,movie,Horror,2015,3.7,FALSE
An Inspector Calls,movie,"Comedy, Mystery",2015,4.9,FALSE
Monster Hunt,movie,"Adventure, Comedy, Fantasy",2015,6.1,FALSE
Belle & Sebastian: The Adventure Continues,movie,"Adventure, Family",2015,6.6,FALSE
Windstorm 2,movie,"Adventure, Drama, Family",2015,6.3,FALSE
Gekijouban Yowamushi pedaru,movie,"Animation, Comedy, Romance",2015,6.7,FALSE
Ghost in the Shell: The New Movie,movie,"Action, Animation, Sci-Fi",2015,6.6,FALSE
The One Ticket,movie,Comedy,2014,5.7,FALSE
The Siege of Jadotville,movie,"Action, Drama, Thriller",2016,7.2,FALSE
Free Fire,movie,"Action, Comedy, Crime",2016,6.3,FALSE
Gold,movie,"Biography, Crime, Drama",2016,6.7,FALSE
Criminal Activities,movie,"Crime, Drama, Thriller",2015,5.8,FALSE
My All-American,movie,"Biography, Drama, Sport",2015,7.2,FALSE
Manchester by the Sea,movie,Drama,2016,7.8,FALSE
Lion,movie,"Biography, Drama",2016,8,FALSE
Last Conversations,movie,Documentary,2015,7.8,FALSE
Slapstick Brothers,movie,"Comedy, Drama",2011,6,FALSE
Kidnap - Bo's Most Exciting Holiday Ever,movie,"Adventure, Family",2015,6.5,FALSE
The Treasure,movie,Comedy,2015,6.7,FALSE
Monkey Business from A to Z,movie,Family,2015,5.9,FALSE
Warn That Man,movie,"Comedy, Thriller, War",1943,5.7,FALSE
¡Asu Mare! 2,movie,"Biography, Comedy",2015,5.6,FALSE
My Big Night,movie,"Comedy, Romance",2015,6.1,FALSE
My Little Pony: The Movie,movie,"Adventure, Animation, Comedy",2017,6.1,FALSE
Dharam Sankat Mein,movie,Comedy,2015,6.3,FALSE
Land of Mine,movie,"Drama, History, War",2015,7.8,FALSE
The Five Elements of Adventure,movie,"Adventure, Documentary",2015,,FALSE
It All Depends on Girls,movie,Comedy,1980,4.4,FALSE
The Deal,movie,"Crime, Drama, Thriller",2015,6.1,FALSE
Guru Bangsa Tjokroaminoto,movie,"Biography, Drama, History",2015,6.9,FALSE
Amityville Playhouse,movie,Horror,2015,1.8,FALSE
The Nut Job 2: Nutty by Nature,movie,"Adventure, Animation, Comedy",2017,5.5,FALSE
Risen,movie,"Action, Drama, History",2016,6.3,FALSE
Uncharted,movie,"Action, Adventure",2022,6.3,FALSE
When the Bough Breaks,movie,"Drama, Thriller",2016,5.2,FALSE
Monster High: The Movie,movie,"Action, Adventure, Comedy",2022,5.1,FALSE
Ouija: Origin of Evil,movie,"Drama, Horror, Mystery",2016,6.2,FALSE
Boonie Bears: A Mystical Winter,movie,"Animation, Comedy",2015,5.4,FALSE
Circle,movie,"Drama, Horror, Mystery",2015,6,FALSE
Venom,movie,"Action, Adventure, Sci-Fi",2018,6.6,FALSE
Blade Runner 2049,movie,"Action, Drama, Mystery",2017,8,FALSE
Transformers: The Last Knight,movie,"Action, Adventure, Sci-Fi",2017,5.2,FALSE
Ruben Guthrie,movie,"Comedy, Drama, Romance",2015,5.8,FALSE
Little Forest: Winter/Spring,movie,Drama,2015,7.6,FALSE
Son of Saul,movie,"Drama, War",2015,7.4,FALSE
The Shameless,movie,"Crime, Drama, Romance",2015,6.1,FALSE
Office,movie,"Mystery, Thriller",2015,6,FALSE
Portrait of a Thief,movie,"Crime, Drama, History",2014,6.4,FALSE
Jengka,movie,Horror,2015,,FALSE
The High Sun,movie,"Drama, Romance, War",2015,7.1,FALSE
Filosofi Kopi,movie,Drama,2015,7.1,FALSE
One Floor Below,movie,Drama,2015,6.4,FALSE
El invierno de las anjanas,movie,"Drama, History, Romance",2000,5.3,FALSE
We Are Pregnant,movie,"Comedy, Romance",2016,5.4,FALSE
Viral,movie,"Drama, Horror, Sci-Fi",2016,5.5,FALSE
Chris D'Elia: Incorrigible,movie,Comedy,2015,6.4,FALSE
Coin Locker Girl,movie,"Action, Crime, Drama",2015,6.7,FALSE
Any Body Can Dance 2,movie,"Biography, Drama, Music",2015,5.4,FALSE
Much Loved,movie,Drama,2015,6.2,FALSE
Cleveland Abduction,movie,"Biography, Crime, Drama",2015,6.6,FALSE
The Wave,movie,"Action, Drama, Thriller",2015,6.6,FALSE
Goon: Last of the Enforcers,movie,"Comedy, Sport",2017,5.8,FALSE
Stolen Assignment,movie,"Comedy, Crime, Mystery",1955,5.8,FALSE
99 Cahaya di Langit Eropa Part 2,movie,"Adventure, Drama",2014,6.7,FALSE
Frankenstein,movie,"Horror, Sci-Fi, Thriller",2015,5.1,FALSE
The Meddler,movie,"Comedy, Drama, Romance",2015,6.3,FALSE
American Made,movie,"Action, Comedy, Crime",2017,7.1,FALSE
The Fate of the Furious,movie,"Action, Crime, Thriller",2017,6.6,FALSE
Maid for Murder,movie,Comedy,1962,5.3,FALSE
Un lugar en el cine,movie,Documentary,2008,7,FALSE
City of My Dreams,movie,Drama,1976,6.5,FALSE
Elle,movie,"Crime, Drama, Thriller",2016,7.1,FALSE
"Mektoub, My Love: Canto Uno",movie,"Comedy, Romance",2017,6.5,FALSE
Gabriel,movie,"Adventure, Family",2013,6,FALSE
Gabbar Is Back,movie,"Action, Crime, Drama",2015,7,FALSE
"Pororo, the Snow Fairy Village Adventure",movie,"Animation, Family, Fantasy",2014,6.6,FALSE
Last Cab to Darwin,movie,"Adventure, Comedy, Drama",2015,7.2,FALSE
Rock Around the World,movie,"Biography, Drama, Music",1957,5.5,FALSE
Surprise Party,movie,"Comedy, Drama",1983,4.6,FALSE
Teenage Bad Girl,movie,"Crime, Drama",1956,5.6,FALSE
Tomorrow We Live,movie,"Drama, Romance, Thriller",1942,6.3,FALSE
Dil Dhadakne Do,movie,"Comedy, Drama, Romance",2015,7,FALSE
Run To Ground,movie,,2015,,FALSE
The Holy Man 2,movie,Comedy,2008,5.2,FALSE
The Firefly,movie,Drama,2001,6.2,FALSE
The Love Ban,movie,Comedy,1973,4.8,FALSE
Bloodshot,movie,"Action, Adventure, Sci-Fi",2020,5.7,FALSE
The Treacherous,movie,"Crime, Drama, History",2015,6.1,FALSE
The Dreams of Elibidi,movie,Drama,2010,6.1,FALSE
Paradise Stop,movie,"Comedy, Crime",2011,6.8,FALSE
Fantastic Beasts: The Crimes of Grindelwald,movie,"Adventure, Family, Fantasy",2018,6.5,FALSE
Zombieland: Double Tap,movie,"Action, Comedy, Horror",2019,6.7,FALSE
Tomb Raider,movie,"Action, Adventure, Fantasy",2018,6.3,FALSE
The Last Days of American Crime,movie,"Action, Crime, Drama",2020,3.8,FALSE
The Man with the Iron Heart,movie,"Action, Biography, Thriller",2017,6.4,FALSE
Tamasha,movie,"Comedy, Drama, Romance",2015,7.4,FALSE
On the Basis of Sex,movie,"Biography, Drama, History",2018,7.1,FALSE
True Memoirs of an International Assassin,movie,"Action, Comedy, Crime",2016,5.9,FALSE
Café Society,movie,"Comedy, Drama, Romance",2016,6.6,FALSE
Loving,movie,"Biography, Drama, Romance",2016,7,FALSE
Something Between,movie,Sport,2013,5.9,FALSE
Solace,movie,"Crime, Drama, Mystery",2015,6.4,FALSE
Jeruzalem,movie,"Horror, Sci-Fi, Thriller",2015,4.8,FALSE
Shot Caller,movie,"Crime, Drama, Thriller",2017,7.3,FALSE
David Brent: Life on the Road,movie,"Comedy, Music",2016,6.3,FALSE
Baywatch,movie,"Action, Comedy, Crime",2017,5.5,FALSE
Loving Vincent,movie,"Animation, Drama, Mystery",2017,7.8,FALSE
Kevin Hart: What Now?,movie,"Comedy, Documentary",2016,6,FALSE
The Bells in Old Town,movie,Drama,1946,5.3,FALSE
Valerian and the City of a Thousand Planets,movie,"Action, Adventure, Fantasy",2017,6.4,FALSE
Colossal,movie,"Comedy, Drama, Fantasy",2016,6.2,FALSE
Miracles from Heaven,movie,"Biography, Drama, Family",2016,7.1,FALSE
The Circle,movie,"Drama, Mystery, Sci-Fi",2017,5.4,FALSE
Gringo,movie,"Action, Comedy, Crime",2018,6.1,FALSE
Brain on Fire,movie,"Biography, Drama",2016,6.6,FALSE
Skanör-Falsterbo,movie,Comedy,1939,5.5,FALSE
Pixel Theory,movie,Sci-Fi,2013,4.8,FALSE
Wednesdays don't exist,movie,"Comedy, Drama, Romance",2015,5.4,FALSE
The Healer,movie,"Comedy, Drama, Family",2016,6.4,FALSE
Wkreceni 2,movie,Comedy,2015,4.2,FALSE
Almost Christmas,movie,"Comedy, Drama, Romance",2016,6.2,FALSE
Niyazi Gül Dörtnala,movie,Comedy,2015,4.5,FALSE
Certain Women,movie,Drama,2016,6.4,FALSE
Lavender,movie,"Adventure, Drama, Horror",2016,5.4,FALSE
The Wife,movie,Drama,2017,7.2,FALSE
Personal Shopper,movie,"Drama, Mystery, Thriller",2016,6.1,FALSE
Chronicles of Evil,movie,"Crime, Drama, Mystery",2015,6.8,FALSE
Back to the Fjords,movie,"Documentary, Adventure",2014,,FALSE
Atomic Blonde,movie,"Action, Thriller",2017,6.7,FALSE
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),movie,Comedy,2015,6.8,FALSE
Somnambulists,movie,Drama,1978,5.1,FALSE
A Girl's Secret,movie,Drama,2001,5.8,FALSE
Heroine Disqualified,movie,"Comedy, Romance",2015,6.4,FALSE
Jumping,movie,"Comedy, Thriller",1986,5.1,FALSE
Truman,movie,"Comedy, Drama",2015,7.3,FALSE
King of Mahjong,movie,Comedy,2015,4.8,FALSE
Wonderful Nightmare,movie,"Comedy, Drama, Fantasy",2015,7.1,FALSE
You'll Never Walk Alone,movie,"Comedy, Drama, Music",2015,5.3,FALSE
Puerto Ricans in Paris,movie,"Comedy, Crime",2015,5.4,FALSE
Une famille à louer,movie,"Comedy, Romance",2015,5.5,FALSE
All the Bright Places,movie,"Drama, Romance",2020,6.6,FALSE
Leap!,movie,"Adventure, Animation, Comedy",2016,6.8,FALSE
20th Century Women,movie,"Comedy, Drama",2016,7.3,FALSE
Barcelona Christmas Night,movie,Romance,2015,6.4,FALSE
Jack Reacher: Never Go Back,movie,"Action, Drama, Thriller",2016,6.2,FALSE
Kingsman: The Golden Circle,movie,"Action, Adventure, Comedy",2017,6.7,FALSE
Gerald's Game,movie,"Drama, Horror, Thriller",2017,6.5,FALSE
90 Minutes in Heaven,movie,Drama,2015,4.9,FALSE
Bill Hicks: Reflections,movie,"Documentary, Short",2015,6.8,FALSE
The World Is Mine,movie,Drama,2015,6.2,FALSE
The Classified File,movie,"Crime, Drama",2015,6.5,FALSE
Victoria Angel,movie,"Comedy, Family",2015,3.9,FALSE
Between a Frock & a Hard Place,movie,Documentary,2015,7.7,FALSE
Lee & Cindy C.,movie,Comedy,2015,5.2,FALSE
Bikini Baby,movie,Comedy,1951,5.8,FALSE
Mine,movie,"Drama, Thriller, War",2016,5.8,FALSE
Torno indietro e cambio vita,movie,"Comedy, Fantasy",2015,5.4,FALSE
Frank and Cindy,movie,Comedy,2015,6.1,FALSE
Meet Me in Venice,movie,"Drama, Family, Music",2015,6.5,FALSE
Just the Way You Are,movie,"Drama, Romance",2015,6.2,FALSE
Minority Opinion,movie,Drama,2015,6.4,FALSE
A Haunting at the Rectory,movie,"Drama, Horror",2015,2.9,FALSE
Crossing Rachmaninoff,movie,"Documentary, Music",2015,7.5,FALSE
The Equalizer 2,movie,"Action, Crime, Thriller",2018,6.7,FALSE
Find a Boyfriend for My Wife... PLEASE!,movie,"Comedy, Romance",2016,5.7,FALSE
The House,movie,"Comedy, Crime",2017,5.6,FALSE
Collateral Beauty,movie,"Drama, Romance",2016,6.8,FALSE
Fist Fight,movie,Comedy,2017,5.6,FALSE
All I See Is You,movie,"Drama, Mystery",2016,5.4,FALSE
The Shack,movie,"Drama, Fantasy",2017,6.3,FALSE
The Meg,movie,"Action, Horror, Sci-Fi",2018,5.7,FALSE
Lost Paradise,movie,"Drama, Thriller",2016,4.3,FALSE
3 Idiots,movie,Comedy,2017,4.4,FALSE
It,movie,Horror,2017,7.3,FALSE
Disco Polo,movie,"Comedy, Music",2015,5,FALSE
Find the Lady,movie,Comedy,1976,4.1,FALSE
Paddington 2,movie,"Adventure, Comedy, Family",2017,7.8,FALSE
Girlfriend's Day,movie,"Comedy, Drama",2017,5.2,FALSE
Little Evil,movie,"Comedy, Fantasy, Horror",2017,5.7,FALSE
Underworld: Blood Wars,movie,"Action, Fantasy, Horror",2016,5.8,FALSE
The Water Man,movie,"Adventure, Drama, Family",2020,5.6,FALSE
Line of Duty,movie,"Action, Crime, Thriller",2019,5.3,FALSE
El Club de los Insomnes,movie,Drama,2018,6.3,FALSE
A United Kingdom,movie,"Biography, Drama, History",2016,6.9,FALSE
Swiss Army Man,movie,"Comedy, Drama, Fantasy",2016,6.9,FALSE
Haikyuu!! The Movie 1: The End and the Beginning,movie,"Animation, Comedy, Drama",2015,6.9,FALSE
Haikyuu!! The Movie 2: The Winner and the Loser,movie,"Animation, Comedy, Drama",2015,6.9,FALSE
Meu Passado Me Condena 2: O Filme,movie,"Comedy, Romance",2015,5.6,FALSE
Ralphie May: Imperfectly Yours,movie,"Comedy, Documentary",2013,5.5,FALSE
Mile 22,movie,"Action, Thriller",2018,6.1,FALSE
Alex & Eve,movie,"Comedy, Romance",2015,5.9,FALSE
Containment,movie,"Horror, Sci-Fi, Thriller",2015,4.9,FALSE
The Breakup Playlist,movie,"Drama, Music, Musical",2015,6.4,FALSE
The Western Condominium,movie,Drama,2015,6.1,FALSE
Grace and Grit,movie,"Biography, Drama, Romance",2021,5,FALSE
He's All That,movie,"Comedy, Romance",2021,4.4,FALSE
Thank You for Your Service,movie,"Biography, Drama, War",2017,6.6,FALSE
The Beach of the Drowned,movie,"Crime, Drama, Mystery",2015,6.1,FALSE
Pee-wee's Big Holiday,movie,"Comedy, Family",2016,6.1,FALSE
Alice in Earnestland,movie,"Comedy, Drama, Thriller",2015,6.8,FALSE
Curve,movie,"Horror, Thriller",2015,5.4,FALSE
Hot Summer Nights,movie,"Crime, Drama, Romance",2017,6.4,FALSE
Sleight,movie,"Crime, Drama, Sci-Fi",2016,5.9,FALSE
Gladiator Academy: The Movie,movie,"Animation, Family",2005,,FALSE
The Ridiculous 6,movie,"Action, Adventure, Comedy",2015,4.9,FALSE
6 Days,movie,"Action, Drama, History",2017,6.2,FALSE
Chris Tucker Live,movie,"Comedy, Documentary",2015,6.3,FALSE
Out of Whack,movie,Comedy,1979,5.5,FALSE
A Novel Affair,movie,"Comedy, Drama",1957,6.2,FALSE
Ordinary Victories,movie,Drama,2015,5.5,FALSE
Celles qu'on n'a pas eues...,movie,Comedy,1981,5.7,FALSE
Sneekweek,movie,"Comedy, Horror, Mystery",2016,4.6,FALSE
Dummie the Mummy and the Sphinx of Shakaba,movie,"Adventure, Comedy, Family",2015,5.7,FALSE
Stratton,movie,"Action, Adventure, Thriller",2017,4.8,FALSE
Spanish Affair 2,movie,"Comedy, Romance",2015,5.3,FALSE
The Next Skin,movie,"Drama, Mystery, Thriller",2016,6.1,FALSE
C'est Si Bon,movie,"Drama, Romance",2015,6.7,FALSE
Department Q: A Conspiracy of Faith,movie,"Crime, Drama, Mystery",2016,7,FALSE
A War,movie,"Crime, Drama, Thriller",2015,7,FALSE
The Day Will Come,movie,Drama,2016,7.9,FALSE
A Man Called Ove,movie,"Comedy, Drama, Romance",2015,7.7,FALSE
Undisputed 4: Boyka,movie,"Action, Drama, Sport",2016,6.9,FALSE
Ludo,movie,"Fantasy, Horror, Thriller",2015,2.8,FALSE
The Spy,movie,Comedy,1999,6,FALSE
Mano po 2: My home,movie,Drama,2003,6,FALSE
Baahubali 2: The Conclusion,movie,"Action, Drama",2017,8.2,FALSE
The Midwife,movie,"Drama, History, Romance",2015,6,FALSE
I Will Wait for You in Heaven,movie,"Drama, Romance",1991,7.2,FALSE
Car Trouble,movie,Comedy,1986,5,FALSE
Comic 8: Casino Kings Part 1,movie,"Action, Adventure, Comedy",2015,6.1,FALSE
Doraemon: Nobita no Uchû Eiyûki,movie,"Action, Adventure, Animation",2015,6.5,FALSE
Colin Hay - Waiting for My Real Life,movie,"Biography, Documentary, Music",2015,7.9,FALSE
The Bride,movie,"Drama, Romance",2015,6.6,FALSE
Welcome to Marwen,movie,"Biography, Comedy, Drama",2018,6.2,FALSE
When a Tree Falls,movie,Drama,2015,6.8,FALSE
Blair Witch,movie,"Horror, Mystery, Thriller",2016,5,FALSE
Parallel Roads,movie,Drama,2016,6.6,FALSE
Neruda,movie,"Biography, Crime, Drama",2016,6.8,FALSE
Death Note,movie,"Crime, Drama, Fantasy",2017,4.5,FALSE
Forsaken,movie,Drama,2015,6.2,FALSE
To Steal from a Thief,movie,"Adventure, Crime, Drama",2016,6.2,FALSE
To My Beloved,movie,"Drama, Thriller",2015,6.7,FALSE
Bangistan,movie,"Comedy, Drama",2015,4.5,FALSE
Drishyam,movie,"Crime, Drama, Mystery",2015,8.2,FALSE
Anna,movie,"Drama, Fantasy",2015,6.1,FALSE
La tête du client,movie,"Action, Comedy, Crime",1965,5.4,FALSE
Happy Little Submarine: Magic Box of Time,movie,Animation,2015,,FALSE
XOXO,movie,"Drama, Music",2016,5.3,FALSE
Deadly Record,movie,"Crime, Drama, Mystery",1959,5.9,FALSE
Mano po,movie,Drama,2002,6.3,FALSE
Riding High,movie,Thriller,2008,4.9,FALSE
Mother's Day,movie,"Comedy, Drama, Romance",2016,5.6,FALSE
Going in Style,movie,"Comedy, Crime",2017,6.6,FALSE
Mission: Impossible - Fallout,movie,"Action, Adventure, Thriller",2018,7.7,FALSE
Mano po 5: Gua ai di (I love you),movie,"Comedy, Drama, Romance",2006,5.1,FALSE
Den starkaste,movie,Drama,1929,6.8,FALSE
The Mirage,movie,"Comedy, Drama",2015,6.7,FALSE
The Heaven None Missed,movie,"Drama, Romance",2015,7.4,FALSE
Jumanji: Welcome to the Jungle,movie,"Action, Adventure, Comedy",2017,7,FALSE
The Dark Tower,movie,"Action, Adventure, Fantasy",2017,5.6,FALSE
"Basically, Johnny Moped",movie,"Biography, Documentary, Music",2013,7.3,FALSE
Tallulah,movie,"Comedy, Drama, Romance",2016,6.7,FALSE
Love at First Sight,movie,"Drama, Romance",2023,6.8,FALSE
Pitch Perfect 3,movie,"Comedy, Music",2017,5.8,FALSE
Holland: Natuur in de Delta,movie,Documentary,2015,6.9,FALSE
Death of a Gentleman,movie,"Documentary, Sport",2015,7.2,FALSE
Phantom,movie,"Action, Drama, Thriller",2015,6,FALSE
Manjhi: The Mountain Man,movie,"Biography, Drama",2015,8,FALSE
Our Times,movie,"Comedy, Romance",2015,7.4,FALSE
Forsaken,movie,"Action, Drama, Western",2015,6.4,FALSE
Go Away Mr. Tumor,movie,"Comedy, Romance",2015,6.6,FALSE
Never Play with the Dead,movie,"Horror, Mystery",2002,2.9,FALSE
The Love Affair,movie,"Drama, Romance",2015,6.3,FALSE
Charming,movie,"Adventure, Animation, Comedy",2018,5.6,FALSE
The Sense of an Ending,movie,"Drama, Mystery",2017,6.4,FALSE
War Machine,movie,"Comedy, Drama, War",2017,6,FALSE
Les fougères bleues,movie,Drama,1977,4,FALSE
