Title,Type_ID,Genre_ID,Year,IMDB_Score,Netflix_Original
Summer in Berlin,movie,Drama,2005,6.9,FALSE
The Pianist,movie,"Biography, Drama, Music",2002,8.5,FALSE
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,6.5,FALSE
Sissi,movie,"Comedy, Drama, History",1955,7,FALSE
Sissi: The Young Empress,movie,"Drama, History",1956,6.6,FALSE
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957,6.6,FALSE
Erin Brockovich,movie,"Biography, Drama",2000,7.4,FALSE
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,7.5,FALSE
My Own Private Idaho,movie,Drama,1991,7,FALSE
The African Queen,movie,"Adventure, Drama, Romance",1951,7.7,FALSE
The Seventh Seal,movie,"Drama, Fantasy",1957,8.1,FALSE
The Green Mile,movie,"Crime, Drama, Fantasy",1999,8.6,FALSE
Reservoir Dogs,movie,"Crime, Thriller",1992,8.3,FALSE
Poseidon,movie,"Action, Adventure, Thriller",2006,5.7,FALSE
Monster,movie,"Biography, Crime, Drama",2003,7.3,FALSE
Marnie,movie,"Crime, Drama, Mystery",1964,7.1,FALSE
Love Actually,movie,"Comedy, Drama, Romance",2003,7.6,FALSE
Notting Hill,movie,"Comedy, Drama, Romance",1999,7.2,FALSE
One Flew Over the Cuckoo's Nest,movie,Drama,1975,8.7,FALSE
Casino,movie,"Crime, Drama",1995,8.2,FALSE
Once Were Warriors,movie,"Crime, Drama",1994,7.9,FALSE
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"Adventure, Animation, Comedy",2005,7.5,FALSE
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,6.5,FALSE
Flashdance,movie,"Drama, Music, Romance",1983,6.2,FALSE
Psycho,movie,"Horror, Mystery, Thriller",1960,8.5,FALSE
Rashomon,movie,"Crime, Drama, Mystery",1950,8.2,FALSE
Fight Club,movie,Drama,1999,8.8,FALSE
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,7.4,FALSE
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,7.5,FALSE
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,6.3,FALSE
Constantine,movie,"Action, Fantasy, Horror",2005,7,FALSE
The Mummy,movie,"Action, Adventure, Fantasy",1999,7.1,FALSE
The Birds,movie,"Drama, Horror, Mystery",1963,7.6,FALSE
Next Door,movie,"Mystery, Thriller",2005,6.4,FALSE
Jaws,movie,"Adventure, Drama, Horror",1975,8.1,FALSE
Jaws 2,movie,"Adventure, Horror, Thriller",1978,5.8,FALSE
The Lives of Others,movie,"Drama, Mystery, Thriller",2006,8.4,FALSE
Monty Python's Life of Brian,movie,Comedy,1979,8,FALSE
