Title,Type,Genre ID,Year,IMDB Score,Netflix Original
One Flew Over the Cuckoo's Nest,movie,35,1975,8.7,FALSE
Casino,movie,"29,35",1995,8.2,FALSE
Once Were Warriors,movie,"29,35",1994,7.9,FALSE
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"8,12,23",2005,7.5,FALSE
Terminator Salvation,movie,"1,8,82",2009,6.5,FALSE
Flashdance,movie,"35,60,73",1983,6.2,FALSE
Psycho,movie,"50,64,103",1960,8.5,FALSE
Rashomon,movie,"29,35,64",1950,8.2,FALSE
Fight Club,movie,35,1999,8.8,FALSE
Spider-Man,movie,"1,8,82",2002,7.4,FALSE
Spider-Man 2,movie,"1,8,82",2004,7.5,FALSE
Spider-Man 3,movie,"1,8,82",2007,6.3,FALSE
Constantine,movie,"1,40,50",2005,7,FALSE
The Mummy,movie,"1,8,40",1999,7.1,FALSE
The Birds,movie,"35,50,64",1963,7.6,FALSE
Next Door,movie,64103,2005,6.4,FALSE
Jaws,movie,"8,35,50",1975,8.1,FALSE
Jaws 2,movie,"8,50,103",1978,5.8,FALSE
The Lives of Others,movie,"35,64,103",2006,8.4,FALSE
Monty Python's Life of Brian,movie,23,1979,8,FALSE
2 Fast 2 Furious,movie,"1,29,103",2003,5.9,FALSE
Big Fish,movie,"8,35,40",2003,8,FALSE
The Da Vinci Code,movie,64103,2006,6.6,FALSE
The Conversation,movie,"35,64,103",1974,7.7,FALSE
The Terminal,movie,"23,35,73",2004,7.4,FALSE
Titanic,movie,"35,73",1997,7.9,FALSE
City of God,movie,"29,35",2002,8.6,FALSE
E.T. the Extra-Terrestrial,movie,"8,37,82",1982,7.9,FALSE
The Matrix,movie,"1,82",1999,8.7,FALSE
The Matrix Reloaded,movie,"1,82",2003,7.2,FALSE
The Matrix Revolutions,movie,"1,82",2003,6.7,FALSE
Men in Black,movie,"1,8,23",1997,7.3,FALSE
Men in Black II,movie,"1,8,23",2002,6.2,FALSE
Munich,movie,"35,48,103",2005,7.5,FALSE
Wild Strawberries,movie,"35,73",1957,8.1,FALSE
Wild Things,movie,"29,35,64",1998,6.6,FALSE
The Bodyguard,movie,"35,60,73",1992,6.4,FALSE
Ghostbusters,movie,"1,23,40",1984,7.8,FALSE
The Ninth Gate,movie,64103,1999,6.7,FALSE
Easy Rider,movie,"8,35",1969,7.2,FALSE
Interview with the Vampire,movie,"35,40,50",1994,7.5,FALSE
Bridget Jones's Diary,movie,"23,35,73",2001,6.8,FALSE
Life Is Beautiful,movie,"23,35,73",1997,8.6,FALSE
Boyz n the Hood,movie,"29,35",1991,7.8,FALSE
Troy,movie,"8,35",2004,7.3,FALSE
Saw IV,movie,"50,64,103",2007,5.9,FALSE
Central Station,movie,35,1998,8,FALSE
Oldboy,movie,"1,35,64",2003,8.3,FALSE
Harry Potter and the Sorcerer's Stone,movie,"8,37,40",2001,7.7,FALSE
Harry Potter and the Chamber of Secrets,movie,"8,37,40",2002,7.4,FALSE
Harry Potter and the Prisoner of Azkaban,movie,"8,37,40",2004,7.9,FALSE
Harry Potter and the Goblet of Fire,movie,"8,37,40",2005,7.7,FALSE
Harry Potter and the Order of the Phoenix,movie,"1,8,37",2007,7.5,FALSE
Pulp Fiction,movie,"29,35",1994,8.9,FALSE
Meet the Fockers,movie,"23,73",2004,6.3,FALSE
The Piano,movie,"35,60,73",1993,7.5,FALSE
Together,movie,"23,35,73",2000,7.4,FALSE
Top Gun,movie,"1,35",1986,6.9,FALSE
The Last Emperor,movie,"16,35,48",1987,7.7,FALSE
Shaun of the Dead,movie,"23,50",2004,7.9,FALSE
V for Vendetta,movie,"1,35,82",2005,8.1,FALSE
Monty Python and the Holy Grail,movie,"8,23,40",1975,8.2,FALSE
The Evil Dead,movie,50,1981,7.4,FALSE
Harry Potter and the Half-Blood Prince,movie,"1,8,37",2009,7.6,FALSE
Goodfellas,movie,"16,29,35",1990,8.7,FALSE
Gandhi,movie,"16,35,48",1982,8,FALSE
Kolya,movie,"23,35,60",1996,7.7,FALSE
Mr. & Mrs. Smith,movie,"1,23,29",2005,6.5,FALSE
Closely Watched Trains,movie,"23,35,73",1966,7.6,FALSE
The Fog,movie,"50,64",2005,3.7,FALSE
City of Angels,movie,"35,40,73",1998,6.7,FALSE
Persona,movie,35103,1966,8,FALSE
Se7en,movie,"29,35,64",1995,8.6,FALSE
Airplane!,movie,23,1980,7.7,FALSE
Austin Powers: International Man of Mystery,movie,"8,23",1997,7,FALSE
Austin Powers: The Spy Who Shagged Me,movie,"1,8,23",1999,6.7,FALSE
Chinatown,movie,"35,64,103",1974,8.1,FALSE
